,price,lessons,rating,popular,newly_joined,has_diploma,approved_matirials,reviews,students_count,English,Spanish,Arabic,Italian,Russian,Turkish,Portuguese,German,Danish,Hebrew,French,teaches_count,last_booked,response_time,is_expensive
2410,16,110,5.0,0,0,0,0,5,9,7,0,0,0,0,0,7,0,0,0,0,1,0,1.0,0
2411,56,263,5.0,0,0,0,0,2,5,7,0,0,0,7,0,0,2,0,0,0,1,1,20.0,0
2412,62,278,4.2,0,0,0,0,6,7,7,0,0,0,0,0,0,0,0,0,0,1,1,24.0,0
2413,140,0,0.0,0,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1
2414,31,101,4.3,0,0,0,0,6,9,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2415,78,417,5.0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0
2416,25,852,5.0,0,0,1,0,20,22,7,0,7,0,0,0,0,0,0,0,0,1,2,2.0,0
2417,78,578,5.0,0,0,0,0,13,11,7,0,0,0,7,0,0,0,0,0,0,1,0,1.0,0
2418,68,76,5.0,0,0,1,0,1,1,7,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0
2419,75,1377,4.9,0,0,1,0,17,25,7,0,0,0,0,0,0,0,0,5,0,1,3,1.0,0
2420,28,79,5.0,0,0,0,0,3,10,7,0,0,0,0,0,0,0,0,0,0,1,2,7.0,0
2421,56,2,0.0,0,1,0,0,0,1,7,0,0,0,0,0,0,7,0,0,0,1,0,1.0,0
2422,62,204,0.0,0,1,1,0,0,13,7,0,0,0,0,0,6,0,0,0,0,1,1,3.0,0
2423,16,1060,4.1,0,0,0,0,14,4,6,6,0,0,0,0,0,0,0,0,0,4,1,24.0,0
2424,78,136,5.0,0,0,1,0,1,3,7,0,0,0,0,0,0,0,0,0,0,1,1,9.0,0
2425,44,197,5.0,0,0,0,0,3,2,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2426,124,107,5.0,0,0,1,0,1,3,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1
2427,37,339,4.6,0,0,0,0,4,1,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2428,25,26,5.0,0,0,1,0,1,1,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2429,44,194,5.0,0,0,1,0,5,12,7,0,0,2,0,0,0,0,0,0,0,1,1,11.0,0
2430,59,12,5.0,0,0,0,0,1,2,7,7,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2431,34,353,4.8,1,0,1,0,8,8,6,0,0,0,7,0,0,0,0,0,0,1,0,1.0,0
2432,68,346,4.3,0,0,1,0,6,9,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2433,9,172,5.0,0,0,0,0,3,2,7,0,0,0,0,0,0,0,0,0,5,1,1,7.0,0
2434,93,461,5.0,0,0,0,0,9,4,7,0,0,0,0,0,0,0,0,0,6,1,1,2.0,0
2435,53,1387,4.8,0,0,0,0,22,11,6,0,0,0,7,0,0,0,0,0,0,1,9,4.0,0
2436,93,377,5.0,0,0,0,0,11,9,7,0,0,5,0,0,0,0,0,0,7,1,0,1.0,0
2437,78,3,0.0,0,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2438,25,389,4.9,0,0,0,0,10,13,7,6,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2439,19,12,0.0,2,1,0,0,0,2,5,0,0,0,0,0,7,0,0,0,5,1,0,1.0,0
2440,47,1128,4.9,0,0,1,0,23,4,6,1,0,6,7,0,0,0,0,1,0,4,1,1.0,0
2441,37,20,5.0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2442,37,50,5.0,0,0,0,0,2,2,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2443,12,107,5.0,0,0,0,0,1,9,7,0,0,0,0,0,0,0,0,0,0,1,3,3.0,0
2444,78,3,0.0,0,1,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0
2445,37,1279,4.0,0,0,1,0,40,15,7,2,0,0,0,0,0,0,0,0,0,1,1,8.0,0
2446,62,87,5.0,0,0,1,0,2,3,7,0,1,0,0,0,0,0,0,0,3,1,0,1.0,0
2447,25,218,5.0,1,0,0,0,6,18,7,0,0,0,0,0,0,0,0,0,0,1,5,6.0,0
2448,47,259,5.0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,3,1,2,7.0,0
2449,22,34,0.0,0,1,1,0,0,4,7,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0
2450,31,85,4.8,0,0,0,0,4,7,6,0,0,0,0,0,0,0,0,0,0,1,2,23.0,0
2451,22,127,5.0,0,0,0,0,5,9,7,1,0,0,0,0,0,0,0,0,0,1,3,4.0,0
